,indifferent,runs_from,running,climbing,eating,foraging,tail_twitches,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
0,0,0,0,0,0,0,0,False,False,False,False,False,True
1,0,1,1,0,0,0,0,False,False,False,False,True,True
2,0,1,0,1,0,0,0,False,False,True,False,False,False
3,0,0,0,0,0,0,0,False,False,True,False,False,False
4,0,1,0,0,0,1,0,False,False,False,False,True,False
5,0,0,0,0,0,1,0,False,False,False,False,True,True
6,1,0,0,0,0,1,1,False,False,True,False,False,False
7,1,0,0,0,0,1,0,False,False,True,False,False,False
8,0,0,0,0,0,0,1,False,False,False,False,False,True
9,0,0,1,0,0,0,0,False,False,True,False,False,False
10,1,0,0,0,0,0,0,False,True,False,False,False,False
11,1,0,1,0,1,1,0,False,False,False,False,False,True
12,1,0,0,0,0,1,0,False,False,False,False,False,True
13,1,0,0,0,0,0,0,False,False,True,False,False,False
14,1,0,1,0,0,0,0,False,False,False,False,False,True
15,0,1,0,0,0,0,1,False,False,False,False,True,False
16,1,0,1,0,0,1,0,False,False,True,False,False,False
17,0,0,1,0,0,1,0,False,False,False,False,False,True
18,0,0,1,0,0,0,0,False,False,False,False,False,True
19,0,0,0,0,1,1,0,False,False,False,False,True,False
20,0,0,0,0,1,0,0,False,False,True,False,False,False
21,1,0,0,0,1,0,0,True,False,False,False,False,True
22,0,0,0,0,0,0,0,False,False,False,True,False,False
23,1,0,0,0,0,1,0,False,True,False,False,False,False
24,1,0,0,0,1,0,0,False,True,False,False,False,False
25,0,1,1,1,0,0,0,False,False,True,False,False,False
26,1,0,0,0,0,1,0,False,False,False,False,True,False
27,0,0,0,1,0,0,0,False,False,True,False,False,False
28,1,0,0,0,0,1,0,False,False,False,False,True,False
29,0,0,0,1,1,0,0,False,False,True,False,False,False
30,0,0,1,0,0,0,1,False,False,False,False,False,True
31,1,0,1,0,0,1,0,False,False,False,False,False,True
32,1,0,0,0,1,0,0,False,False,False,False,False,True
33,0,0,0,0,0,0,1,False,True,False,False,False,False
34,1,0,0,0,0,1,0,False,False,False,False,False,True
35,1,0,0,0,0,1,1,False,False,False,False,False,True
36,1,0,0,0,1,1,0,False,False,False,False,True,True
37,1,0,0,1,0,0,0,False,False,False,False,True,False
38,0,0,0,0,0,0,0,False,False,False,False,True,False
39,1,0,0,0,0,1,1,False,False,True,False,False,False
40,1,0,0,0,1,1,0,False,False,False,False,False,True
41,1,0,0,0,0,1,0,False,False,True,False,False,True
42,1,0,0,0,0,1,0,False,False,False,False,True,False
43,0,1,0,0,0,0,0,False,False,False,False,True,False
44,0,0,1,0,1,1,1,False,False,True,False,False,False
45,1,0,1,0,0,0,0,False,False,False,False,False,True
46,0,1,1,0,0,0,0,False,False,False,False,True,False
47,0,1,1,0,0,0,0,False,False,False,False,False,True
48,0,0,0,1,0,0,0,False,False,True,False,False,True
49,0,1,1,0,0,1,0,False,False,False,False,False,True
50,1,0,0,0,0,1,0,False,False,True,False,False,True
51,0,0,0,1,0,0,0,False,False,True,False,False,False
52,0,0,0,0,0,0,0,False,False,False,False,False,True
53,1,0,0,0,0,1,0,False,False,False,False,False,True
54,0,1,1,0,0,1,0,False,False,False,False,False,True
55,1,0,0,0,0,0,0,False,True,False,False,False,False
56,1,0,0,1,0,1,0,False,False,False,True,False,False
57,0,1,0,0,0,0,0,False,False,True,False,False,False
58,1,0,0,1,0,0,0,False,False,False,True,False,False
59,0,0,0,0,0,1,0,False,False,False,False,False,True
60,0,1,0,1,0,0,0,False,False,False,False,False,True
61,1,0,0,0,0,1,0,False,False,True,False,False,False
62,1,0,0,0,1,0,0,False,False,True,False,False,False
63,0,1,1,0,0,0,0,False,False,False,False,True,False
64,0,1,0,0,0,1,0,False,False,False,False,False,True
65,0,1,1,0,1,0,1,False,False,False,False,True,False
66,0,1,1,0,0,0,1,False,True,False,False,False,False
67,0,0,0,1,0,0,0,False,False,True,False,False,False
68,1,0,0,0,0,1,1,False,False,False,False,True,True
69,0,0,0,1,0,0,0,False,False,False,False,False,True
70,0,0,1,0,0,0,0,False,False,False,False,False,True
71,0,0,0,0,0,1,0,False,False,True,False,False,False
72,0,0,1,0,0,1,0,False,False,False,False,True,False
73,0,1,0,0,0,1,0,False,False,False,False,True,True
74,0,1,0,0,0,1,0,False,False,True,False,False,True
75,1,0,0,0,0,1,1,False,False,True,False,False,True
76,1,0,0,0,1,1,0,False,False,False,False,True,True
77,0,1,1,1,1,0,0,False,False,False,False,False,True
78,0,0,0,0,0,1,0,False,False,False,False,True,True
79,0,0,0,1,0,0,0,False,False,False,False,True,False
80,1,1,0,0,0,1,0,False,False,True,False,False,True
81,0,0,0,0,1,0,1,False,True,False,False,False,False
82,1,0,0,1,0,0,0,False,False,False,False,True,True
83,1,0,0,0,0,1,0,False,False,False,False,False,True
84,1,0,1,0,0,0,0,False,False,False,True,False,False
85,1,0,0,0,0,1,0,False,False,False,False,False,True
86,1,1,0,1,0,0,0,False,False,True,False,False,False
87,0,0,0,0,0,0,0,False,False,False,False,False,True
88,1,0,0,0,0,1,0,False,False,True,False,False,False
89,1,0,1,0,0,0,0,False,False,True,False,False,False
90,1,0,0,0,0,1,0,False,False,False,False,True,True
91,0,0,0,0,1,1,0,False,False,False,False,False,True
92,1,0,0,0,0,1,1,False,True,False,False,True,False
93,1,0,0,0,1,0,0,False,False,False,True,False,False
94,0,1,0,0,1,0,0,True,False,False,False,False,False
95,1,0,0,0,0,1,1,False,False,False,False,True,True
96,1,0,0,0,1,1,1,False,False,True,False,False,False
97,0,0,0,0,0,1,0,False,False,True,False,False,False
98,1,0,0,0,0,1,0,False,False,True,False,False,False
99,1,0,0,0,1,1,1,False,False,False,False,False,True
100,1,0,0,1,0,0,0,False,False,False,False,True,False
101,0,1,1,0,0,0,0,False,False,True,False,False,False
102,0,0,1,0,0,0,1,False,False,False,False,False,True
103,0,0,0,0,0,0,0,False,False,True,False,False,False
104,1,0,0,0,0,1,1,False,False,False,False,True,True
105,0,0,1,0,0,1,1,False,False,True,False,False,False
106,0,1,0,0,0,1,0,False,False,False,False,False,True
107,1,0,0,0,0,1,0,False,False,True,False,False,False
108,1,0,1,0,0,1,1,False,False,False,False,False,True
109,0,0,0,1,0,0,0,False,False,True,False,False,False
110,0,0,0,0,0,0,0,False,False,False,False,False,True
111,1,0,0,0,0,1,0,False,False,True,False,False,False
112,1,0,0,0,0,1,0,False,False,True,False,False,False
113,0,1,0,0,0,1,0,False,False,False,False,True,False
114,0,0,0,0,0,1,0,False,False,True,False,False,False
115,1,0,1,1,1,0,0,False,False,True,False,False,False
116,1,0,0,0,0,1,0,False,False,False,False,True,False
117,0,1,0,0,1,1,0,False,False,False,False,False,True
118,0,1,0,0,0,1,0,False,False,True,False,False,False
119,1,0,0,0,0,1,0,False,False,False,False,True,False
120,1,0,0,1,0,0,0,False,False,True,False,False,False
121,1,0,0,0,0,1,0,False,False,False,False,True,False
122,0,1,1,0,0,0,1,False,False,False,True,False,False
123,1,0,0,0,0,1,0,False,False,False,False,False,True
124,0,0,0,1,0,0,0,True,False,False,False,False,False
125,1,0,0,0,0,1,0,False,True,False,False,True,False
126,1,0,0,0,0,1,1,False,False,False,False,True,False
127,0,0,0,0,1,0,0,False,False,False,False,True,True
128,0,0,0,1,1,0,0,False,False,False,False,True,False
129,1,0,0,0,0,1,0,True,False,False,False,False,True
130,0,0,0,0,1,0,0,False,False,True,False,False,False
131,0,1,1,0,0,0,0,False,False,False,False,True,False
132,1,0,0,0,0,1,0,False,False,False,False,True,False
133,0,0,0,0,0,1,0,False,False,False,False,True,True
134,1,0,0,0,0,0,0,False,False,False,False,True,False
135,0,1,1,0,0,0,0,False,False,True,False,False,True
136,1,0,0,0,0,1,0,False,False,True,False,False,False
137,0,0,1,0,0,1,0,False,False,True,False,False,False
138,0,0,0,1,0,1,0,False,False,True,False,False,False
139,0,1,0,0,1,1,0,False,False,True,False,False,False
140,1,0,0,0,0,0,0,False,False,False,False,False,True
141,1,0,0,0,0,1,1,False,False,False,False,True,False
142,0,0,1,1,0,0,0,True,False,False,False,False,False
143,0,1,0,0,1,0,0,False,True,False,False,False,False
144,1,0,0,1,0,1,0,False,False,True,False,False,False
145,1,0,1,1,1,1,0,False,True,False,False,False,False
146,0,0,1,0,0,0,0,False,False,False,False,True,False
147,0,1,0,0,1,0,0,False,False,False,False,False,True
148,1,0,0,0,1,1,0,False,False,True,False,False,False
149,0,1,0,1,0,1,0,False,False,False,False,False,True
150,0,1,0,0,0,1,0,False,False,True,False,False,False
151,0,0,0,1,0,0,0,False,False,False,False,True,False
152,1,0,0,0,1,0,0,False,True,False,False,True,False
153,1,0,0,1,0,0,0,False,False,True,False,False,False
154,0,0,0,0,0,0,0,False,False,True,False,False,False
155,0,1,0,0,0,1,0,False,True,False,False,False,False
156,1,0,1,0,0,0,0,False,False,True,False,False,False
157,1,0,0,1,0,0,0,False,False,False,False,True,True
158,0,0,0,0,1,1,0,False,False,False,False,False,True
159,1,0,0,0,1,1,0,False,False,False,False,False,True
160,0,0,0,0,0,0,0,False,False,False,False,False,True
161,0,1,0,0,0,1,0,False,False,True,False,False,True
162,1,0,0,0,1,0,0,False,True,False,False,False,False
163,1,0,0,1,1,0,0,False,False,False,False,True,False
164,1,0,0,0,0,1,0,False,False,False,True,False,False
165,1,0,0,0,0,1,0,False,False,False,False,False,True
166,0,0,0,0,0,0,1,False,False,False,False,False,True
167,1,0,0,0,1,0,0,False,False,False,False,False,True
168,1,0,1,1,0,0,0,False,True,False,False,False,False
169,0,1,0,1,1,1,0,False,False,True,False,False,False
170,1,0,0,0,1,1,1,False,True,False,False,True,False
171,1,0,0,0,0,1,0,False,False,True,False,False,False
172,0,0,0,0,0,0,0,False,False,False,False,False,True
173,1,0,0,0,0,1,0,False,False,True,False,False,False
174,0,0,0,0,0,1,0,False,False,True,False,False,True
175,0,1,0,0,1,1,0,True,False,False,False,False,False
176,0,0,0,0,1,0,1,False,False,True,False,False,False
177,0,0,0,0,1,0,0,False,False,False,False,False,True
178,0,1,1,0,0,0,0,False,False,False,False,False,True
179,0,0,0,0,1,0,0,False,False,True,False,False,False
180,1,0,0,0,0,0,0,False,False,False,False,True,False
181,0,1,1,0,0,0,0,False,False,True,False,False,False
182,1,0,0,0,0,1,0,False,False,False,False,False,True
183,0,1,0,0,0,1,0,False,False,True,False,False,False
184,0,1,0,0,1,1,0,False,False,False,False,True,False
185,1,0,0,0,0,1,0,False,False,False,False,False,True
186,1,0,0,0,1,0,0,False,False,True,False,False,False
187,1,0,1,0,0,0,0,True,False,True,False,False,True
188,1,0,0,0,1,1,0,False,False,False,False,False,True
189,0,1,0,0,1,0,0,False,False,False,False,False,True
190,1,0,1,1,0,0,0,False,False,True,False,False,False
191,0,1,1,0,0,0,0,False,False,False,False,True,False
192,0,1,0,0,0,1,0,False,False,False,False,True,False
193,0,1,0,1,0,0,0,False,True,False,False,False,False
194,0,1,0,0,0,1,1,False,False,False,False,True,False
195,1,0,0,0,1,1,0,False,False,False,True,True,False
196,0,0,0,0,1,1,0,False,False,False,False,False,True
197,0,0,0,0,0,1,0,False,False,False,False,True,True
198,1,0,0,0,0,1,0,False,False,False,False,True,True
199,1,0,0,0,0,0,0,False,True,False,False,False,False
200,1,0,0,0,1,1,0,False,False,False,False,True,False
201,0,0,0,1,0,0,0,False,False,False,False,False,True
202,0,1,0,0,0,0,1,False,False,True,False,False,False
203,1,0,0,0,1,1,0,False,False,False,False,True,False
204,1,0,0,0,0,1,0,True,False,False,True,False,False
205,1,0,0,1,0,0,0,False,False,False,False,True,False
206,0,0,0,0,0,1,0,False,False,True,False,False,False
207,0,0,0,0,0,0,0,False,False,False,False,True,True
208,0,0,0,1,0,0,0,False,False,True,False,False,True
209,1,0,0,0,0,1,0,False,False,False,True,False,False
210,0,0,1,1,0,0,0,False,False,True,False,False,False
211,1,0,0,0,0,1,0,False,False,False,False,False,True
212,0,0,1,1,1,0,0,False,False,True,False,False,False
213,0,0,0,1,0,0,0,False,False,True,False,False,False
214,1,0,1,0,0,0,0,False,False,True,False,False,False
215,0,1,0,0,1,1,1,False,False,False,False,True,True
216,1,0,1,0,0,0,0,False,False,True,False,False,False
217,1,0,0,0,1,0,0,False,False,True,False,False,False
218,1,0,0,1,0,0,1,False,False,True,True,False,False
219,0,1,1,0,1,0,1,False,False,True,False,False,False
220,0,0,0,0,1,0,0,False,True,True,False,False,False
221,0,1,0,0,1,1,0,False,False,True,False,False,False
222,0,1,0,1,0,1,0,False,False,False,False,False,True
223,0,1,1,0,0,0,0,False,False,False,False,False,True
224,0,0,0,0,0,0,1,False,False,False,False,True,False
225,0,1,0,1,0,0,0,False,False,True,False,False,False
226,0,0,0,0,0,1,0,False,True,True,False,False,False
227,0,0,0,0,0,0,0,False,False,False,False,True,True
228,0,0,1,0,0,0,0,False,False,False,False,False,True
229,1,0,0,0,1,0,0,False,False,False,False,True,False
230,0,0,0,0,0,1,0,False,False,True,False,False,False
231,1,0,0,0,0,1,0,False,False,True,False,False,False
232,0,0,1,0,0,1,0,False,False,False,False,False,True
233,0,0,0,1,0,0,0,False,False,True,False,False,True
234,0,1,1,1,0,1,0,False,False,True,False,False,False
235,0,1,1,0,0,1,1,False,False,True,False,False,False
236,1,0,1,0,1,1,0,False,False,True,False,False,True
237,0,1,1,0,1,0,0,False,False,False,False,False,True
238,1,1,0,0,0,1,0,False,False,False,False,True,False
239,0,0,1,0,0,0,0,False,False,False,False,False,True
240,0,0,1,0,0,1,0,False,True,False,False,False,False
241,1,0,0,1,0,0,0,False,False,False,False,True,True
242,1,1,0,1,0,0,0,False,False,False,False,False,True
243,0,0,0,0,1,0,0,False,True,False,False,False,False
244,1,0,0,0,1,1,0,False,False,True,False,False,False
245,1,0,0,0,0,1,0,False,True,False,False,False,False
246,1,0,1,0,0,0,0,False,False,False,False,True,False
247,1,0,0,1,0,0,0,True,False,False,False,False,False
248,1,0,1,0,1,1,0,False,False,False,False,False,True
249,0,0,0,0,0,0,0,False,False,True,False,False,False
250,0,1,1,0,0,0,0,False,False,False,False,True,False
251,0,0,0,0,0,1,0,False,True,False,False,False,False
252,0,0,0,0,1,1,0,False,False,True,False,False,False
253,1,0,1,0,0,0,0,False,False,False,False,True,False
254,1,0,0,0,0,1,0,True,False,False,False,False,False
255,1,0,0,1,0,0,0,False,False,False,True,False,False
256,0,0,1,0,0,1,0,False,False,False,False,True,False
257,1,0,0,0,0,1,0,False,False,False,False,True,True
258,1,0,0,1,0,0,0,True,False,False,False,False,False
259,1,0,0,0,1,0,0,False,False,True,False,True,False
260,1,0,0,0,0,1,0,False,False,False,False,True,True
261,1,0,1,0,0,0,0,False,False,False,True,False,False
262,1,0,1,0,0,0,0,False,False,False,True,False,False
263,1,0,0,0,1,1,0,False,False,True,False,False,False
264,1,0,0,0,1,0,0,False,False,False,False,False,True
265,0,0,0,1,1,0,1,True,False,False,False,False,False
266,1,0,0,0,0,1,0,False,False,False,False,True,True
267,1,0,0,0,0,1,0,False,False,False,False,False,True
268,1,0,1,0,0,0,0,False,False,False,False,True,True
269,0,1,0,1,0,1,0,False,False,False,False,False,True
270,0,0,0,0,0,0,0,True,False,False,False,False,False
271,1,0,0,0,0,1,0,False,True,False,False,False,False
272,1,0,0,0,0,1,0,False,False,False,False,False,True
273,0,0,0,0,0,1,0,False,False,False,False,False,True
274,0,0,0,0,0,0,0,False,True,False,False,False,False
275,0,0,1,0,0,0,0,False,False,False,False,True,True
276,1,0,0,0,0,1,0,False,False,False,False,False,True
277,0,0,1,0,0,0,0,False,False,False,False,False,True
278,1,0,0,0,0,1,0,False,False,False,False,True,False
279,1,0,0,0,0,0,0,False,False,True,False,False,False
280,1,0,0,0,0,1,1,False,False,True,False,False,False
281,1,0,0,0,0,1,0,False,True,False,False,False,False
282,1,0,0,0,0,1,0,False,True,False,False,False,False
283,0,0,1,0,0,0,0,False,False,False,False,False,True
284,0,0,0,1,0,1,0,False,False,False,False,False,True
285,1,0,0,0,1,0,0,False,False,False,True,True,False
286,1,0,1,0,0,0,0,False,False,True,False,False,False
287,0,0,0,0,0,0,0,False,False,False,False,False,True
288,0,1,1,0,1,0,0,False,False,False,False,True,True
289,0,0,0,0,0,1,0,True,False,False,False,True,False
290,0,1,0,0,0,0,0,False,False,True,False,False,False
291,0,1,1,1,0,1,0,False,True,False,False,False,False
292,1,0,0,1,1,0,0,False,False,True,False,True,False
293,0,1,0,1,0,0,1,False,False,True,False,False,False
294,0,1,0,0,0,1,0,True,False,True,False,False,False
295,1,0,0,1,0,1,1,False,False,False,False,True,True
296,0,1,0,1,0,0,0,False,False,False,False,True,False
297,0,1,0,1,0,0,1,True,False,False,False,False,False
298,0,0,0,0,0,0,0,False,False,False,False,False,True
299,0,0,0,0,0,1,0,False,False,False,False,True,False
300,1,0,0,0,1,1,0,False,False,True,False,False,False
301,0,0,1,0,0,0,0,False,False,False,False,False,True
302,1,0,0,1,0,0,0,False,False,False,False,False,True
303,0,0,1,0,0,0,0,False,False,True,False,False,False
304,1,0,0,0,1,0,0,False,False,False,False,True,True
305,1,0,1,1,0,0,0,False,False,False,False,True,False
306,0,1,0,0,0,0,0,False,False,True,False,False,False
307,0,1,1,0,0,0,0,False,False,False,False,True,False
308,1,0,0,1,1,0,0,False,False,False,False,False,True
309,1,0,0,1,0,0,0,True,False,False,False,False,True
310,1,0,0,0,0,0,0,False,False,True,False,False,False
311,0,1,1,0,0,0,0,False,False,False,False,False,True
312,0,0,0,0,0,1,1,False,False,True,False,False,False
313,1,0,0,0,0,1,0,False,False,False,False,False,True
314,1,0,0,1,0,0,0,False,False,True,False,False,False
315,0,1,0,0,1,1,0,True,False,True,False,False,False
316,1,0,0,0,0,1,0,False,False,False,False,True,False
317,1,0,1,0,0,0,0,False,False,False,False,True,True
318,1,0,0,0,0,1,0,False,False,False,False,False,True
319,0,1,0,0,0,1,0,False,False,False,False,False,True
320,1,0,0,0,0,1,1,False,False,True,False,False,False
321,0,1,1,0,0,0,1,False,False,False,False,False,True
322,0,1,0,0,0,1,1,False,False,False,False,True,True
323,1,0,0,0,0,0,0,False,False,False,True,False,False
324,0,1,1,1,0,0,0,False,False,False,False,False,True
325,1,0,1,0,0,1,0,False,False,False,False,True,True
326,0,1,0,0,0,1,0,False,False,False,False,False,True
327,1,0,0,0,0,1,0,False,False,False,False,False,True
328,1,0,0,0,0,1,0,False,False,False,False,False,True
329,0,0,1,1,0,0,1,False,False,False,False,False,True
330,0,0,1,0,0,1,0,False,False,False,False,False,True
331,1,0,0,0,0,1,0,False,False,False,False,False,True
332,1,0,0,1,0,0,0,False,False,True,False,False,False
333,1,0,1,1,0,0,0,False,True,False,False,False,False
334,1,0,0,0,0,1,0,False,False,False,False,True,True
335,1,0,0,0,1,0,0,False,False,True,False,False,True
336,0,0,0,0,1,0,0,False,False,True,False,False,False
337,1,0,1,0,0,0,0,False,False,False,False,True,False
338,1,0,0,0,1,0,0,False,False,False,False,True,False
339,0,0,0,0,1,0,0,False,False,False,False,False,True
340,0,1,0,0,1,0,0,False,False,False,False,False,True
341,0,1,1,0,0,0,0,False,False,False,False,True,False
342,1,0,0,0,1,0,0,False,False,False,False,False,True
343,1,0,0,0,1,0,0,True,False,False,False,False,False
344,0,0,0,1,0,0,1,False,False,True,True,False,False
345,0,0,0,0,1,0,0,False,False,False,False,False,True
346,1,0,0,0,0,1,0,False,False,False,False,True,True
347,0,1,0,1,0,0,0,False,False,True,False,False,False
348,0,0,0,0,0,0,0,False,False,False,False,True,False
349,1,0,0,0,1,1,1,False,False,True,False,False,False
350,0,0,0,0,0,0,0,False,False,False,True,False,False
351,0,1,0,1,0,1,0,False,False,False,False,True,False
352,0,1,1,0,0,0,0,False,True,True,False,False,False
353,1,0,0,0,0,0,0,False,False,False,False,True,True
354,1,0,0,0,0,1,0,False,False,True,False,False,True
355,0,0,0,0,1,0,0,False,False,False,True,False,False
356,0,0,0,0,0,1,1,False,False,True,False,False,False
357,1,0,0,0,0,0,0,False,False,False,False,False,True
358,1,0,0,0,0,1,0,False,False,True,False,True,False
359,0,0,0,0,0,0,0,False,False,True,False,False,False
360,1,0,0,0,0,1,0,True,False,False,False,False,False
361,1,0,0,0,0,0,0,False,False,False,False,False,True
362,1,0,0,0,0,1,0,False,False,False,False,False,True
363,0,1,0,0,1,0,0,False,False,True,False,False,False
364,1,0,1,0,1,0,0,False,False,True,False,False,False
365,0,1,0,0,0,1,0,False,False,True,False,False,False
366,0,1,1,0,0,0,0,False,False,False,False,True,False
367,0,0,0,1,0,1,0,False,False,True,False,False,False
368,1,0,0,0,0,1,0,False,False,False,False,False,True
369,0,1,0,0,0,0,0,False,False,True,False,False,False
370,0,1,0,0,1,0,0,False,False,False,False,False,True
371,0,1,0,0,0,0,0,False,False,False,False,True,False
372,0,0,0,1,0,0,0,False,False,False,False,False,True
373,0,0,0,0,1,0,0,False,False,False,False,True,True
374,1,0,0,0,0,1,0,False,False,False,False,True,False
375,0,0,0,1,0,0,0,False,False,True,False,False,False
376,1,0,0,0,0,1,0,False,False,False,False,False,True
377,1,0,0,0,1,1,1,False,False,False,False,True,True
378,0,0,0,0,0,0,0,False,False,True,False,False,False
379,0,0,0,0,1,0,0,False,False,False,False,True,True
380,0,0,0,1,0,0,1,False,False,False,False,True,False
381,0,1,0,0,0,1,0,False,False,False,False,True,True
382,1,0,0,1,0,1,0,False,False,False,False,False,True
383,0,1,0,0,1,0,1,False,False,False,True,False,False
384,0,1,0,0,0,1,0,False,False,True,False,False,True
385,1,0,0,0,0,1,1,False,False,True,False,False,False
386,1,0,0,0,0,0,0,False,False,False,False,False,True
387,1,0,0,1,0,0,0,False,False,False,False,False,True
388,0,1,0,0,1,1,0,False,True,False,False,False,False
389,0,0,0,0,0,1,0,False,False,False,False,False,True
390,1,0,0,0,0,1,0,False,False,False,False,True,True
391,0,0,0,1,0,0,0,False,False,False,False,False,True
392,0,0,0,1,0,1,0,False,True,False,False,False,False
393,0,1,0,1,0,0,0,False,False,False,False,True,False
394,1,0,0,0,1,0,1,True,False,False,False,False,False
395,1,0,0,0,1,0,1,True,False,True,False,False,False
396,1,0,0,0,0,1,0,False,False,True,False,False,False
397,1,0,0,0,0,0,0,False,False,True,False,False,False
398,0,0,1,0,1,0,0,False,False,True,False,False,False
399,1,0,0,0,1,0,0,False,False,False,False,False,True
400,0,0,0,1,0,0,0,False,False,False,False,False,True
401,1,0,0,0,0,1,0,False,False,True,False,False,False
402,0,1,1,0,0,0,0,False,False,False,False,True,True
403,1,0,1,0,1,1,0,False,False,False,False,False,True
404,0,0,0,0,0,0,0,False,False,False,False,False,True
405,1,0,0,0,1,1,0,False,False,False,False,False,True
406,1,0,0,0,0,1,0,False,False,False,False,True,True
407,0,0,0,0,1,1,0,False,False,False,False,True,False
408,1,0,0,0,0,1,0,False,False,False,False,False,True
409,1,0,0,1,0,0,0,False,False,True,False,False,False
410,0,1,1,0,1,1,1,False,True,False,False,False,False
411,0,0,0,1,0,0,0,False,False,True,False,False,False
412,0,0,0,0,1,1,0,False,False,False,False,True,False
413,1,0,0,1,0,0,0,False,True,False,False,False,False
414,1,0,0,0,0,1,1,True,False,False,False,False,False
415,0,1,1,0,1,0,0,False,False,False,False,False,True
416,1,1,1,0,1,1,0,False,False,True,False,False,False
417,1,0,0,0,0,1,0,False,False,True,False,False,False
418,0,0,0,1,0,0,0,False,False,False,False,False,True
419,0,0,1,0,0,0,0,False,True,True,False,False,True
420,1,0,0,0,0,0,0,False,True,True,False,False,False
421,0,0,1,0,0,0,0,False,False,True,False,False,False
422,0,1,1,0,0,0,0,False,False,False,False,False,True
423,1,0,0,0,0,1,0,False,False,False,False,False,True
424,1,0,0,0,0,1,0,False,False,True,False,False,False
425,0,0,1,0,0,1,0,True,False,False,False,False,False
426,0,1,1,0,0,0,0,False,False,False,False,False,True
427,0,1,1,0,0,0,1,False,False,True,False,False,False
428,0,0,0,0,1,0,0,False,False,True,False,False,False
429,1,0,0,0,0,0,0,False,False,False,False,False,True
430,0,1,0,0,1,0,0,True,False,False,False,False,False
431,1,0,0,0,1,0,1,False,False,True,False,False,False
432,1,0,0,0,0,0,0,False,False,True,False,False,False
433,1,0,0,0,1,0,0,False,False,False,False,True,False
434,0,1,0,0,0,0,0,False,True,False,False,False,False
435,1,0,0,0,0,1,0,False,False,False,False,True,True
436,1,0,0,0,1,1,0,False,False,True,False,False,False
437,1,0,0,1,0,0,0,False,False,False,True,False,False
438,0,0,0,0,1,1,1,False,False,True,False,False,False
439,0,1,1,0,1,1,0,False,False,False,False,False,True
440,1,0,0,0,0,1,0,False,False,True,False,False,True
441,1,0,0,0,0,0,0,True,False,False,False,False,False
442,1,0,0,0,0,1,1,False,False,False,False,False,True
443,1,0,1,0,1,1,0,False,False,False,False,False,True
444,1,0,0,0,0,1,0,False,False,False,False,False,True
445,0,0,1,0,0,0,0,False,False,True,False,False,False
446,1,0,0,1,0,0,0,False,False,True,False,False,False
447,0,0,0,1,0,0,0,False,False,False,False,False,True
448,1,0,1,0,1,1,1,False,False,True,False,False,False
449,1,0,0,0,1,0,0,False,False,False,False,True,True
